"unique_id","PERWT","SEX","EDUC","INCWAGE"
"201001622283",20131.2,1,7,14000
"201001623681",18034.2,1,6,0
"201001625071",11883,2,6,0
"201001626471",9226.8,1,6,0
"201001626472",9226.8,2,6,0
"201001627871",37746,2,4,25800
"201001629271",15657.6,1,10,0
"201001629272",12721.8,2,6,0
"201001630671",9226.8,2,7,0
"201001632061",17055.6,2,8,74000
"201001632062",11603.4,2,6,4000
"201001633461",4613.4,1,6,32000
"201001633462",7269.6,2,6,5000
"201001634861",16077,1,6,83000
"201001634862",17055.6,2,6,6000
"201001636261",13420.8,1,7,120000
"201001636262",14679,2,6,60000
"201001637661",27960,2,6,0
"201001639051",11184,2,7,0
"201001641851",16356.6,1,1,25000
"201001641852",18034.2,2,2,24000
"201001641853",13700.4,2,3,0
"201001641854",13700.4,1,3,0
"201001643251",15517.8,1,6,0
"201001644651",16356.6,2,6,0
"201001644652",12582,2,2,0
"201001646041",14539.2,1,6,0
"201001647441",24185.4,1,10,65000
"201001648841",14119.8,1,11,15100
"201001648842",11044.2,2,7,0
"201001650241",10485,2,6,38000
"201001651641",10764.6,1,11,0
"201001651642",9646.2,2,6,0
"201001653031",9087,1,8,0
"201001654431",11883,2,6,9300
"201001655831",35229.6,1,8,44200
"201001657231",16636.2,1,7,30000
"201001657232",16776,2,8,30000
"201001658631",9366.6,1,3,0
"201001660021",7828.8,1,2,0
"201001661421",8388,2,5,0
"201001662821",10904.4,1,11,62000
"201001662822",11184,2,10,68000
"201001664221",10345.2,2,6,0
"201001667011",2656.2,1,5,0
"201001667012",2656.2,2,6,0
"201001667013",3495,1,4,0
"201001667014",3495,1,3,0
"201001668411",25723.2,1,6,30000
"201001669811",8527.8,2,10,50000
"201001669812",3774.6,1,10,75000
"201001671211",6710.4,2,6,0
"201001671212",13700.4,1,2,5200
"201001672611",6011.4,2,6,35000
"201001674001",14399.4,2,10,0
"201001675401",44176.8,2,10,0
"201001675402",34670.4,1,3,0
"201001675403",25164,2,5,0
"201001676801",10624.8,2,8,22600
"201001676802",9925.8,1,6,0
"201001676803",10205.4,1,6,0
"201001678201",11463.6,1,6,28000
"201001680991",11883,1,6,12100
"201001680992",12162.6,2,7,0
"201001680993",5592,1,6,49700
"201001682391",10065.6,2,10,12200
"201001682392",11044.2,2,10,3000
"201001683791",9786,1,10,0
"201001683792",8388,2,10,0
"201001685191",6710.4,1,6,0
"201001686591",14399.4,1,10,0
"201001686592",10764.6,2,6,0
"201001687981",2656.2,1,10,49000
"201001687982",3215.4,2,10,44500
"201001689381",4613.4,2,7,22000
"201001690781",6151.2,1,7,55000
"201001690782",5731.8,2,8,12000
"201001692181",9925.8,2,6,4000
"201001692182",11184,1,6,40000
