"","id","abortion","pid","linc","female","college","mar","trump"
"537",537,-1,3,6.21460809842219,1,0,0,0
"538",538,1,5,12.2060726455302,0,1,1,1
"539",539,0,4,10.9150793732642,1,0,1,1
"540",540,-1,4,11.1198754694258,1,0,1,NA
"541",541,1,2,11.5129204649577,1,1,0,0
"542",542,0,4,12.2060726455302,0,1,1,1
"543",543,1,0,11.5129204649577,0,1,0,0
"544",544,0,2,12.2060726455302,0,0,1,NA
"545",545,0,3,11.6952428550888,1,0,0,NA
"546",546,0,6,10.7144066575796,1,0,1,NA
"547",547,0,5,9.96408864466398,1,0,1,1
"548",548,0,1,9.69581741805373,0,0,0,NA
"549",549,0,0,6.21460809842219,1,0,0,0
"550",550,0,2,11.5129204649577,1,1,0,NA
"551",551,0,3,11.1198754694258,0,1,1,NA
"552",552,1,1,12.2060726455302,0,0,0,0
"553",553,1,5,11.982929094216,1,1,1,1
"554",554,0,1,11.3205475116983,1,0,0,0
"555",555,0,NA,11.1198754694258,1,1,1,NA
